RegionID,RegionName,State,Metro Area,Concat of MetroArea and CountyName,CountyName,SizeRank,42005,42036,42064,42095,42125,42156,42186,42217,42248,42278,42309,42339,42370,42401,42430,42461,42491,42522,42552,42583
23482,Anchorage,AK,Anchorage,"Anchorage, Anchorage",Anchorage,56,283400,284200,284900,286000,287100,288400,289500,290300,290900,291400,291600,292100,293100,293900,294100,294500,295000,295000,294800,294400
38465,Fairbanks,AK,Fairbanks,"Fairbanks North Star, Fairbanks",Fairbanks North Star,839,207900,207700,207700,207000,206100,206300,207600,208800,208900,209100,209700,209600,208800,208700,209700,211200,213000,214600,215600,216100
36906,Palmer,AK,Anchorage,"Matanuska Susitna, Anchorage",Matanuska Susitna,1771,232800,234200,236400,238400,237700,237300,238800,240300,240600,240800,241300,242900,245500,247000,246700,246200,245700,245300,245000,244500
29910,North Pole,AK,Fairbanks,"Fairbanks North Star, Fairbanks",Fairbanks North Star,1806,198300,199100,199800,200000,200100,200800,202600,204300,205400,206200,206500,206500,206400,206600,206900,207300,208100,209100,209400,209200
5365,Juneau,AK,Juneau,"Juneau, Juneau",Juneau,1946,334900,335500,336600,337100,338400,336600,330900,325000,321900,319900,319200,318900,318600,318600,319600,320500,320100,319200,319000,319400
52742,Kenai,AK,N/A,"Kenai Peninsula, N/A",Kenai Peninsula,3698,196800,198500,200200,201900,203100,203100,203600,205100,205600,205500,206200,207600,208800,209800,210300,211200,211800,212000,212100,211800
56812,Soldotna,AK,N/A,"Kenai Peninsula, N/A",Kenai Peninsula,3807,212000,213800,214700,215800,217200,218700,220100,220800,220400,219700,219400,220500,222700,223900,223800,223600,223300,223100,223000,222200
39281,Kodiak,AK,N/A,"Kodiak Island, N/A",Kodiak Island,3808,258400,258600,258700,257500,255700,255200,256000,256500,256700,256700,256900,256800,255600,254700,255400,263000,272500,275000,271600,270900
102611,Tanaina,AK,Anchorage,"Matanuska Susitna, Anchorage",Matanuska Susitna,4384,214400,215200,216000,216100,215300,215500,216900,218000,218200,218200,218400,219800,221900,223500,223900,224200,225100,226300,226000,225000
